ePortRxDataGroup_0, ePortRxDataGroup_1, ePortRxDataGroup_2, ePortRxDataGroup_3, ePortRxDataGroup_4, ePortRxDataGroup_5, ePortRxDataGroup_6, ePortRxDataGroup_7, ePortRxDataGroup_8, ePortRxDataGroup_9, ePortRxDataGroup_10, ePortRxDataGroup_11
76240925, 5248, 0, 71700480, 0, 0, 32, 100663296, 426016, 29, 524314, 27
3584, 0, 25, 0, 4224, 442368, 0, 658688, 33, 4480, 0, 3200
69210240, 639013, 491547, 3352, 851968, 430336, 99139584, 0, 409600, 0, 528128, 0
593306, 0, 24, 3840, 67534848, 741888, 0, 27, 3352, 4352, 425984, 67113386
0, 0, 0, 0, 34, 0, 0, 524288, 0, 0, 0, 67108891
397089, 0, 396288, 475136, 3616, 61276160, 37, 52432671, 0, 60817446, 27, 475136
397568, 707712, 50331676, 100663296, 38, 54939776, 25, 67108864, 52428800, 3584, 625664, 6301
426019, 26, 0, 31, 65011712, 35, 59165952, 0, 0, 0, 589824, 28
3223, 54525952, 0, 4250, 478635, 73400320, 76185600, 56623134, 442403, 58723618, 69210531, 442395
0, 59260928, 3366, 86556705, 622592, 0, 0, 4736, 50331648, 0, 557056, 0
3200, 61292579, 83890073, 3968, 104863132, 46, 79691776, 0, 2974, 32, 73403520, 4638
0, 3865, 3111, 71303168, 4262, 65016737, 67108889, 0, 0, 32, 639005, 524325
0, 23, 0, 0, 71860253, 0, 4096, 3877, 83889792, 0, 3712, 32
3456, 5022, 3485, 83886080, 56623104, 442368, 0, 63520794, 67108864, 65683485, 54987904, 5632
71876608, 557086, 577691, 0, 606208, 6428, 29, 0, 0, 3113, 65014912, 67112960
0, 56623133, 25, 67108864, 677668, 675712, 65589018, 56623130, 36, 4897, 0, 67113984
82264089, 606208, 0, 52428833, 0, 3200, 0, 425984, 0, 0, 609664, 32
30, 0, 0, 63373312, 0, 25, 0, 120049563, 414464, 671780, 475136, 0
524288, 25, 32, 71303198, 62918016, 540697, 73400348, 0, 0, 638976, 0, 0
3488, 398490, 67567616, 409600, 0, 34, 62919201, 425984, 73960320, 0, 69206016, 37
0, 0, 109527040, 0, 544640, 0, 442368, 29, 26, 26, 0, 594458
73777152, 36, 25, 0, 59342848, 73400346, 63340544, 71696417, 479404, 69206047, 80199680, 475136
50331674, 3072, 40, 75956224, 507904, 0, 69206016, 0, 3584, 90182912, 4761, 3200
458752, 0, 0, 54525983, 65470490, 464896, 442399, 835584, 675968, 63459360, 0, 3618
0, 409600, 39, 0, 32, 69210277, 0, 0, 0, 442397, 3712, 4762
0, 73400320, 34, 30, 88621088, 655403, 71303210, 426016, 34, 67108905, 34, 4608
0, 0, 0, 59392032, 0, 0, 0, 65016576, 3200, 0, 3584, 35
3584, 524288, 83886107, 462464, 0, 71893027, 446336, 524288, 0, 69735464, 56623104, 67538944
3871, 56999936, 92815360, 0, 4127, 573440, 3456, 409626, 0, 67780637, 3584, 491548
0, 0, 58720285, 73990144, 3968, 26, 0, 442368, 3328, 527488, 409641, 88085024
0, 3353, 62914560, 81792414, 73940992, 54525952, 0, 62919081, 29, 52428800, 3746, 58720256
540672, 3072, 5760, 24, 0, 5376, 52428828, 0, 54525952, 5149, 0, 4384
0, 512000, 0, 396672, 33, 78037024, 0, 0, 0, 409634, 57037977, 529408
0, 0, 0, 0, 4480, 0, 26, 78004262, 3712, 79691804, 65011712, 0
102764288, 458776, 84279324, 0, 4639, 85986304, 65014940, 50331648, 4736, 4508, 409631, 0
65568798, 0, 409600, 0, 625823, 54525979, 458778, 430336, 0, 67113122, 51, 75956259
0, 23, 56623128, 3224, 425984, 58720256, 573440, 0, 3712, 0, 0, 824096
57049088, 0, 50337664, 0, 425984, 0, 54525984, 0, 73813888, 69209243, 442368, 52890912
50331648, 573440, 3456, 0, 54525983, 0, 58720256, 606208, 41, 3712, 39, 4224
0, 540672, 50334848, 78020608, 30, 52433792, 98566144, 0, 528172, 58720293, 0, 69206058
57065472, 34, 0, 0, 475136, 25, 3328, 65017241, 0, 3200, 3456, 86392866
0, 0, 0, 430336, 5120, 540704, 83886106, 52428839, 67534848, 56623138, 3870, 0
0, 0, 0, 671744, 458752, 67112832, 0, 62918656, 0, 557056, 0, 100663326
529313, 54525952, 25, 0, 0, 0, 0, 4992, 65011712, 0, 0, 61243392
0, 0, 32, 50334881, 67108864, 463232, 546867, 86528431, 0, 3968, 31, 88571931
0, 4608, 507904, 48234496, 67616794, 0, 94378368, 50334755, 54525978, 0, 71716511, 75497505
0, 0, 0, 59392032, 0, 0, 0, 65016576, 3200, 0, 3328, 54525987
0, 393216, 593049, 0, 0, 3712, 28, 58720289, 56623104, 0, 28, 671744
0, 0, 0, 4352, 84492288, 737280, 52432128, 655360, 0, 589849, 71306528, 0
0, 67108864, 3456, 52959360, 540672, 3865, 0, 409600, 67108864, 475136, 589824, 57216128
56623104, 80232478, 0, 475163, 540706, 28, 80248872, 561306, 50744480, 426010, 52434337, 97095552
0, 557085, 67633152, 57262080, 69686400, 5504, 27, 54529280, 0, 446592, 55, 0
55301658, 69206016, 0, 56623104, 0, 52431872, 32, 100663296, 32, 0, 409600, 409632
